cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
0.8359375,0.8043043043043043,0.8768768768768769,0.8383561643835615,GTZAN,meansvm,11.421052631578947,0.04175318936560409,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.8515625,0.7956349206349207,0.9087301587301587,0.8586619406291538,GTZAN,meansvm,11.421052631578947,0.09236708571873885,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.8671875,0.8498498498498499,0.8803803803803804,0.8595238095238095,GTZAN,meansvm,11.421052631578947,0.2043359717856948,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9296875,0.9369458128078818,0.9226600985221675,0.9292853573213393,GTZAN,meansvm,11.421052631578947,0.45203536563602403,,RhythmData,0.925,0.85,1.0,0.9302325581395349
0.9609375,0.9686274509803922,0.9519607843137254,0.9598703888334996,GTZAN,meansvm,11.421052631578947,1.0,,RhythmData,0.85,0.7,1.0,0.8695652173913044
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,16.63157894736842,1e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,2.2122162910704502e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,16.63157894736842,4.893900918477499e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,16.63157894736842,1.0826367338740564e-09,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,16.63157894736842,2.395026619987491e-09,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,5.298316906283702e-09,,RhythmData,0.5,0.0,1.0,0.6666666666666666
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,16.63157894736842,1.1721022975334793e-08,,RhythmData,0.725,0.45,1.0,0.7843137254901961
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,2.592943797404667e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,5.736152510448681e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,1.2689610031679235e-07,,RhythmData,0.85,0.7,1.0,0.8695652173913044
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,2.807216203941181e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,16.63157894736842,6.210169418915616e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,16.63157894736842,1.3738237958832638e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.6796875,0.703125,0.65625,0.6541353383458646,GTZAN,meansvm,16.63157894736842,3.039195382313201e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,16.63157894736842,6.723357536499335e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,16.63157894736842,1.4873521072935119e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,16.63157894736842,3.290344562312671e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
