cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1,is_normalized
1.0,0.26153846153846155,0.2,0.47569230769230775,GTZAN,0.8,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1.3738237958832638e-06}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.24114114114114113,0.4452307692307692,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 3.039195382313201e-06}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.3474903474903475,0.3907692307692308,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 6.723357536499335e-06}",0.35,0.5185185185185185,0.675,1
1.0,0.4769230769230769,0.35171261487050964,0.48369230769230764,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1.4873521072935119e-05}",0.35,0.5185185185185185,0.675,1
1.0,0.2,0.10285714285714284,0.43815384615384617,GTZAN,0.8,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 3.290344562312671e-05}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.22917293233082706,0.4218461538461538,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 7.27895384398316e-05}",0.35,0.5185185185185185,0.675,1
1.0,0.39597069597069595,0.5394444444444444,0.6867692307692307,GTZAN,1.0,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.00016102620275609426}",0.35,0.5185185185185185,0.675,1
1.0,0.4332492507492508,0.5982205513784461,0.7116923076923076,GTZAN,1.0,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.0003562247890262444}",0.8,0.888888888888889,0.9,1
1.0,0.5141691641691641,0.6774720893141944,0.7572307692307693,GTZAN,1.0,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.0007880462815669921}",0.85,0.9189189189189189,0.925,1
1.0,0.6438095238095237,0.7705098039215686,0.812923076923077,GTZAN,0.9875,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.0017433288221999908}",0.9,0.9473684210526316,0.95,1
1.0,0.7430128205128205,0.8245540865930672,0.852,GTZAN,0.9712820512820514,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.0038566204211634724}",1.0,1.0,1.0,1
1.0,0.9412820512820513,0.9520883768641994,0.9526153846153846,GTZAN,0.9675,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.008531678524172814}",1.0,1.0,1.0,1
0.95,0.9482517482517483,0.9476363636363636,0.9535384615384614,GTZAN,0.9579487179487179,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.018873918221350997}",1.0,0.975609756097561,0.975,1
0.95,0.97,0.976407796101949,0.976923076923077,GTZAN,0.9857142857142858,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.04175318936560409}",1.0,0.975609756097561,0.975,1
0.95,0.9833333333333332,0.9766523331740723,0.9766153846153847,GTZAN,0.9541666666666668,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.09236708571873885}",1.0,0.975609756097561,0.975,1
0.95,1.0,0.9848527349228611,0.9843076923076923,GTZAN,0.9675324675324676,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.2043359717856948}",1.0,0.975609756097561,0.975,1
0.95,0.9875,0.9651960408684548,0.960923076923077,GTZAN,0.9314407814407815,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 0.45203536563602403}",1.0,0.975609756097561,0.975,1
0.95,0.9866666666666667,0.9570529573922716,0.9535384615384614,GTZAN,0.9212820512820514,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1.0}",1.0,0.975609756097561,0.975,1
1.0,0.4615384615384615,0.3381330910742676,0.48369230769230775,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 11.421052631578947, ""gamma"": 1e-10}",0.35,0.5185185185185185,0.675,1
1.0,0.4769230769230769,0.35195195195195195,0.48369230769230764,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 11.421052631578947, ""gamma"": 2.2122162910704502e-10}",0.35,0.5185185185185185,0.675,1
1.0,0.2,0.1142857142857143,0.46061538461538465,GTZAN,0.8,mv_svm,,,,RhythmData,"{""C"": 11.421052631578947, ""gamma"": 4.893900918477499e-10}",0.05,0.09523809523809523,0.525,1
1.0,0.4,0.24114114114114113,0.44553846153846155,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 11.421052631578947, ""gamma"": 1.0826367338740564e-09}",0.35,0.5185185185185185,0.675,1
